image,style,item_gender,어울리는계절,적합한착용상황,핏평가,색깔,색감,분위기,멋있다,도시적이다,트렌디하다,세련되다,깔끔하다,화려하다,독특하다,무난하다,개방적이다,실용적이다,활동적이다,편안하다,발랄하다,여성적이다,남성적이다,부드럽다
T_00118_19_normcore_M.webp,normcore,남성,겨울,일상생활,적당함,어두움,따듯함,무거움,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True
T_00119_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,헐렁함,밝음,따듯함,가벼움,False,True,False,True,True,False,False,True,False,True,True,True,False,False,False,True
T_00121_19_normcore_M.webp,normcore,남성,봄/가을,레저스포츠,적당함,어두움,따듯함,가벼움,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
T_00122_19_normcore_M.webp,normcore,남성,여름,일상생활,타이트함,어두움,차가움,가벼움,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
T_00124_19_normcore_M.webp,normcore,남성,여름,일상생활,헐렁함,어두움,따듯함,가벼움,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False
T_00126_19_normcore_M.webp,normcore,남성,봄/가을,데이트,적당함,어두움,차가움,가벼움,False,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False
T_00127_19_normcore_M.webp,normcore,남성,봄/가을,데이트,적당함,밝음,따듯함,가벼움,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
T_00131_19_normcore_M.webp,normcore,남성,봄/가을,데이트,적당함,어두움,차가움,무거움,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False
T_00136_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,적당함,밝음,따듯함,가벼움,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False
T_00138_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,적당함,밝음,따듯함,가벼움,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
T_00143_19_normcore_M.webp,normcore,남성,봄/가을,데이트,헐렁함,어두움,따듯함,가벼움,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False
T_00144_19_normcore_M.webp,normcore,남성,여름,레저스포츠,적당함,밝음,따듯함,가벼움,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
T_00146_19_normcore_M.webp,normcore,남성,봄/가을,데이트,헐렁함,밝음,따듯함,가벼움,True,False,True,False,True,True,False,False,False,False,False,True,True,False,False,False
T_00152_19_normcore_M.webp,normcore,남성,겨울,일상생활,타이트함,어두움,따듯함,가벼움,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
T_00153_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,헐렁함,밝음,차가움,가벼움,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
T_00160_19_normcore_M.webp,normcore,남성,봄/가을,데이트,적당함,밝음,따듯함,가벼움,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
T_00161_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,적당함,밝음,따듯함,가벼움,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
T_00163_19_normcore_M.webp,normcore,남성,봄/가을,사교모임,적당함,어두움,차가움,무거움,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
T_00164_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,적당함,밝음,따듯함,무거움,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
T_00166_19_normcore_M.webp,normcore,남성,봄/가을,여행/휴가,적당함,밝음,따듯함,가벼움,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True
T_00170_19_normcore_M.webp,normcore,남성,여름,일상생활,적당함,밝음,차가움,가벼움,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False
T_00180_19_normcore_M.webp,normcore,남성,여름,일상생활,헐렁함,밝음,따듯함,가벼움,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
T_00181_19_normcore_M.webp,normcore,남성,여름,일상생활,헐렁함,밝음,따듯함,가벼움,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False
T_00184_19_normcore_M.webp,normcore,남성,여름,데이트,적당함,밝음,차가움,가벼움,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True
T_00185_19_normcore_M.webp,normcore,남성,여름,여행/휴가,헐렁함,밝음,따듯함,가벼움,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
T_00186_19_normcore_M.webp,normcore,남성,여름,일상생활,적당함,밝음,차가움,가벼움,True,True,False,False,False,False,False,True,False,False,True,True,True,False,False,False
T_00188_19_normcore_M.webp,normcore,남성,여름,여행/휴가,헐렁함,어두움,차가움,가벼움,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False
T_00190_19_normcore_M.webp,normcore,남성,여름,일상생활,적당함,어두움,차가움,가벼움,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
T_00195_19_normcore_M.webp,normcore,남성,여름,데이트,적당함,밝음,따듯함,가벼움,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True
T_00198_19_normcore_M.webp,normcore,남성,봄/가을,레저스포츠,적당함,밝음,따듯함,가벼움,False,False,True,False,False,False,False,False,True,True,True,False,True,False,False,False
T_00200_19_normcore_M.webp,normcore,남성,여름,일상생활,적당함,어두움,차가움,가벼움,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False
T_00205_19_normcore_M.webp,normcore,남성,봄/가을,데이트,적당함,어두움,차가움,가벼움,False,False,False,True,True,False,False,True,False,False,True,True,False,False,False,True
T_00206_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,적당함,밝음,따듯함,가벼움,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True
T_00208_19_normcore_M.webp,normcore,남성,봄/가을,데이트,적당함,어두움,따듯함,무거움,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
T_00212_19_normcore_M.webp,normcore,남성,봄/가을,데이트,적당함,어두움,차가움,무거움,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
T_00213_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,타이트함,밝음,따듯함,가벼움,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False
T_00214_19_normcore_M.webp,normcore,남성,봄/가을,사교모임,적당함,밝음,따듯함,가벼움,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T_00215_19_normcore_M.webp,normcore,남성,여름,데이트,헐렁함,밝음,따듯함,가벼움,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False
T_00218_19_normcore_M.webp,normcore,남성,여름,데이트,적당함,밝음,따듯함,가벼움,False,False,True,True,True,False,False,True,False,True,True,True,False,False,False,False
T_00221_19_normcore_M.webp,normcore,남성,봄/가을,여행/휴가,헐렁함,어두움,차가움,무거움,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
T_00224_19_normcore_M.webp,normcore,남성,여름,출근,적당함,밝음,따듯함,가벼움,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False
T_00225_19_normcore_M.webp,normcore,남성,여름,데이트,적당함,밝음,차가움,가벼움,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
T_00227_19_normcore_M.webp,normcore,남성,여름,데이트,적당함,어두움,차가움,가벼움,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
T_00236_19_normcore_M.webp,normcore,남성,여름,일상생활,적당함,밝음,따듯함,가벼움,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
T_00238_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,헐렁함,밝음,따듯함,가벼움,True,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True
T_00239_19_normcore_M.webp,normcore,남성,봄/가을,데이트,적당함,밝음,따듯함,가벼움,False,False,False,False,True,False,False,True,False,True,True,True,False,False,False,False
T_00242_19_normcore_M.webp,normcore,남성,여름,일상생활,적당함,밝음,차가움,가벼움,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
T_00243_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,헐렁함,밝음,따듯함,가벼움,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
T_00244_19_normcore_M.webp,normcore,남성,여름,일상생활,헐렁함,밝음,차가움,가벼움,False,False,True,False,True,False,False,False,False,True,True,True,False,False,True,False
T_00389_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,적당함,밝음,차가움,가벼움,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False
T_00397_19_normcore_M.webp,normcore,남성,여름,일상생활,적당함,밝음,따듯함,가벼움,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False
T_00401_19_normcore_M.webp,normcore,남성,여름,일상생활,적당함,밝음,따듯함,가벼움,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False
T_00402_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,적당함,어두움,차가움,무거움,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False
T_00404_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,타이트함,어두움,따듯함,가벼움,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
T_00406_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,적당함,밝음,따듯함,가벼움,False,False,True,False,True,True,False,False,True,False,False,False,True,False,True,False
T_00407_19_normcore_M.webp,normcore,남성,여름,일상생활,적당함,밝음,따듯함,가벼움,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False
T_00408_19_normcore_M.webp,normcore,남성,여름,일상생활,타이트함,어두움,따듯함,가벼움,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
T_00409_19_normcore_M.webp,normcore,남성,여름,출근,적당함,밝음,따듯함,가벼움,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False
T_00411_19_normcore_M.webp,normcore,남성,겨울,일상생활,적당함,어두움,차가움,무거움,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
T_00412_19_normcore_M.webp,normcore,남성,겨울,일상생활,적당함,어두움,차가움,가벼움,False,False,False,False,True,False,False,True,False,True,True,True,False,False,True,False
T_00413_19_normcore_M.webp,normcore,남성,겨울,일상생활,적당함,어두움,차가움,무거움,False,False,False,False,True,False,False,True,False,True,True,True,False,False,False,False
T_00414_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,타이트함,밝음,차가움,무거움,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,False
T_00415_19_normcore_M.webp,normcore,남성,여름,출근,적당함,밝음,따듯함,무거움,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
T_00416_19_normcore_M.webp,normcore,남성,여름,일상생활,헐렁함,어두움,따듯함,가벼움,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
T_00417_19_normcore_M.webp,normcore,남성,여름,일상생활,적당함,어두움,차가움,가벼움,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
T_00418_19_normcore_M.webp,normcore,남성,여름,레저스포츠,헐렁함,밝음,따듯함,가벼움,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False
T_00419_19_normcore_M.webp,normcore,남성,겨울,일상생활,헐렁함,어두움,따듯함,무거움,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
T_00425_19_normcore_M.webp,normcore,남성,여름,데이트,적당함,밝음,따듯함,가벼움,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
T_00428_19_normcore_M.webp,normcore,남성,여름,일상생활,적당함,어두움,차가움,무거움,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
T_00433_19_normcore_M.webp,normcore,남성,여름,일상생활,헐렁함,밝음,차가움,가벼움,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True
T_00437_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,적당함,어두움,따듯함,무거움,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
T_00439_19_normcore_M.webp,normcore,남성,겨울,데이트,적당함,밝음,따듯함,가벼움,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
T_00441_19_normcore_M.webp,normcore,남성,여름,일상생활,적당함,밝음,차가움,가벼움,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
T_00446_19_normcore_M.webp,normcore,남성,봄/가을,데이트,적당함,밝음,따듯함,가벼움,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
T_00449_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,적당함,밝음,따듯함,가벼움,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False
T_00450_19_normcore_M.webp,normcore,남성,여름,일상생활,적당함,어두움,따듯함,가벼움,False,False,True,False,True,False,False,True,False,True,True,True,False,False,False,True
T_00451_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,적당함,밝음,차가움,가벼움,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False
T_00453_19_normcore_M.webp,normcore,남성,겨울,일상생활,헐렁함,어두움,차가움,가벼움,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
T_00455_19_normcore_M.webp,normcore,남성,봄/가을,사교모임,적당함,밝음,따듯함,가벼움,False,False,False,False,True,False,False,False,True,False,True,True,True,False,False,True
T_00457_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,적당함,밝음,따듯함,가벼움,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False
T_00460_19_normcore_M.webp,normcore,남성,봄/가을,데이트,적당함,밝음,따듯함,가벼움,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
T_00466_19_normcore_M.webp,normcore,남성,겨울,일상생활,헐렁함,어두움,따듯함,무거움,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
T_00473_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,헐렁함,어두움,차가움,가벼움,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
T_00474_19_normcore_M.webp,normcore,남성,여름,데이트,적당함,밝음,따듯함,가벼움,False,False,False,False,True,False,False,True,False,True,True,True,False,False,False,False
T_00477_19_normcore_M.webp,normcore,남성,여름,일상생활,적당함,밝음,따듯함,가벼움,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True
T_00488_19_normcore_M.webp,normcore,남성,여름,일상생활,적당함,밝음,따듯함,가벼움,False,True,False,False,True,False,False,True,True,True,True,True,True,False,False,False
T_00489_19_normcore_M.webp,normcore,남성,봄/가을,데이트,적당함,밝음,따듯함,무거움,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True
T_00493_19_normcore_M.webp,normcore,남성,봄/가을,여행/휴가,적당함,밝음,따듯함,가벼움,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False
T_00499_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,적당함,밝음,따듯함,무거움,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False
T_00502_19_normcore_M.webp,normcore,남성,겨울,일상생활,적당함,밝음,따듯함,가벼움,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False
T_00503_19_normcore_M.webp,normcore,남성,여름,일상생활,헐렁함,밝음,따듯함,가벼움,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
T_00508_19_normcore_M.webp,normcore,남성,여름,일상생활,헐렁함,밝음,차가움,가벼움,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
T_00512_19_normcore_M.webp,normcore,남성,겨울,출근,적당함,밝음,차가움,무거움,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
T_00516_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,헐렁함,어두움,차가움,무거움,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
T_00525_19_normcore_M.webp,normcore,남성,봄/가을,데이트,적당함,밝음,따듯함,무거움,True,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True
T_00526_19_normcore_M.webp,normcore,남성,여름,일상생활,적당함,밝음,따듯함,가벼움,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
T_00527_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,적당함,어두움,따듯함,무거움,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,False
T_00530_19_normcore_M.webp,normcore,남성,봄/가을,데이트,적당함,밝음,차가움,가벼움,False,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False
T_00531_19_normcore_M.webp,normcore,남성,여름,일상생활,적당함,밝음,차가움,가벼움,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True
T_00532_19_normcore_M.webp,normcore,남성,겨울,일상생활,적당함,밝음,따듯함,가벼움,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,False
T_00534_19_normcore_M.webp,normcore,남성,봄/가을,데이트,적당함,밝음,따듯함,가벼움,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True
T_00535_19_normcore_M.webp,normcore,남성,여름,데이트,헐렁함,밝음,차가움,가벼움,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
T_00536_19_normcore_M.webp,normcore,남성,겨울,일상생활,헐렁함,밝음,따듯함,가벼움,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False
T_00537_19_normcore_M.webp,normcore,남성,여름,데이트,적당함,밝음,차가움,가벼움,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False
T_00540_19_normcore_M.webp,normcore,남성,여름,데이트,적당함,밝음,차가움,가벼움,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True
T_00546_19_normcore_M.webp,normcore,남성,여름,일상생활,적당함,밝음,따듯함,가벼움,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
T_00547_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,헐렁함,밝음,차가움,가벼움,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
T_00550_19_normcore_M.webp,normcore,남성,봄/가을,데이트,헐렁함,밝음,따듯함,가벼움,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
T_00557_19_normcore_M.webp,normcore,남성,여름,일상생활,적당함,밝음,차가움,가벼움,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False
T_00562_19_normcore_M.webp,normcore,남성,여름,일상생활,헐렁함,밝음,차가움,무거움,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
T_00564_19_normcore_M.webp,normcore,남성,여름,일상생활,헐렁함,밝음,차가움,가벼움,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
T_00566_19_normcore_M.webp,normcore,남성,여름,일상생활,적당함,밝음,따듯함,가벼움,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
T_00568_19_normcore_M.webp,normcore,남성,겨울,일상생활,적당함,어두움,따듯함,가벼움,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False
T_00570_19_normcore_M.webp,normcore,남성,봄/가을,출근,적당함,어두움,따듯함,가벼움,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
T_00571_19_normcore_M.webp,normcore,남성,겨울,데이트,적당함,밝음,따듯함,가벼움,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
